Colname,InitialGuessSpec,InitialGuessSpecChr,ChrSpec
medstopcovidchoice___19,col_double(),d,d
medstopcovidother,col_character(),c,c
comorbid___1,col_double(),d,l
comorbid___2,col_double(),d,l
comorbid___3,col_double(),d,l
comorbid___4,col_double(),d,l
comorbid___5,col_double(),d,l
comorbid___6,col_double(),d,l
comorbid___7,col_double(),d,l
comorbid___8,col_double(),d,l
comorbid___9,col_double(),d,l
comorbid___10,col_double(),d,l
comorbid___11,col_double(),d,l
comorbid___12,col_double(),d,l
comorbid___13,col_double(),d,l
comorbidother,col_character(),c,c
covid_year,col_double(),d,d
covidpcr,col_logical(),l,d
sxdays,col_double(),d,d
sxres,col_double(),d,d
gisx,col_double(),d,f
gisxchoices___1,col_double(),d,l
gisxchoices___2,col_double(),d,l
gisxchoices___3,col_double(),d,l
gisxchoices___4,col_double(),d,l
gisxchoices___5,col_double(),d,l
gisxother,col_character(),c,c
covidmed___1,col_double(),d,l
covidmed___2,col_double(),d,l
covidmed___3,col_double(),d,l
covidmed___4,col_double(),d,l
covidmed___5,col_double(),d,l
covidmed___6,col_double(),d,l
covidmed___7,col_double(),d,l
covidmed___8,col_double(),d,l
covidmed___9,col_double(),d,l
covidmed___10,col_double(),d,l
covidmedother,col_character(),c,c
death,col_double(),d,d
death_confirm,col_double(),d,d
emerg,col_double(),d,d
clot,col_logical(),l,d
clot_type___1,col_double(),d,d
clot_type___2,col_double(),d,d
clot_type___3,col_double(),d,d
clot_type___4,col_double(),d,d
clot_type___5,col_double(),d,d
clot_other,col_logical(),l,c
complication___1,col_double(),d,d
complication___2,col_double(),d,d
complication___3,col_double(),d,d
complication___4,col_double(),d,d
complication___5,col_double(),d,d
complication___6,col_double(),d,d
complication___7,col_double(),d,d
complication___8,col_double(),d,d
complication___9,col_double(),d,d
complication___10,col_double(),d,d
complication___11,col_double(),d,d
complication___12,col_double(),d,d
complication___13,col_double(),d,d
complication_other,col_logical(),l,c
acemed___1,col_double(),d,d
acemed___2,col_double(),d,d
acemed___3,col_double(),d,d
acemed___4,col_double(),d,d
acemed___5,col_double(),d,d
acemed___6,col_double(),d,d
acemed___7,col_double(),d,d
acemed___8,col_double(),d,d
acemed___9,col_double(),d,d
acemed___10,col_double(),d,d
acemedstop___1,col_double(),d,d
acemedstop___2,col_double(),d,d
acemedstop___3,col_double(),d,d
acemedstop___4,col_double(),d,d
acemedstop___5,col_double(),d,d
acemedstop___6,col_double(),d,d
acemedstop___7,col_double(),d,d
acemedstop___8,col_double(),d,d
acemedstop___9,col_double(),d,d
acemedstop___10,col_double(),d,d
hosp,col_character(),c,c
hospital_name,col_character(),c,c
los,col_double(),d,d
vent,col_character(),c,c
icu,col_character(),c,c
optout,col_double(),d,d
secure_complete,col_double(),d,d
studyid,col_character(),c,c
numeric_studyid,col_double(),d,d
date,"col_date(format"""")",?,?
comorbid_text,col_character(),c,c
male,col_double(),d,d
obesity,col_double(),d,d
bmi_cat,col_double(),d,f
ethnicity1,col_double(),d,d
all_flg,col_double(),d,d
icu_vent,col_double(),d,d
icu_vent_only,col_double(),d,d
comorbid_345,col_double(),d,d
comorbid_tot,col_double(),d,d
comorbid_flg,col_double(),d,l
gisxchoices_flg,col_double(),d,l
covidmed_flg,col_double(),d,l
IBD_MED_FLG,col_double(),d,l
RACE_FLG,col_double(),d,l
comorbid_cat,col_double(),d,d
all_patients,col_double(),d,d
age_10,col_double(),d,d
age_20,col_double(),d,d
age_30,col_double(),d,d
age_40,col_double(),d,d
age_50,col_double(),d,d
age_60,col_double(),d,d
age_70,col_double(),d,d
age_80,col_double(),d,d
age_90,col_double(),d,d
age_100,col_double(),d,d
age_cat,col_double(),d,d
age_cat2,col_double(),d,d
Sul_flg,col_double(),d,l
TNF_flg,col_double(),d,l
Bud_flg,col_double(),d,l
Other_CS_flg,col_double(),d,l
aza_flg,col_double(),d,l
Met_flg,col_double(),d,l
TNF_no_AZA_flg,col_double(),d,l
TNF_AZA_flg,col_double(),d,l
TNF_no_AZA6MP_flg,col_double(),d,l
TNF_AZA6MP_flg,col_double(),d,l
TNF_MTX_flg,col_double(),d,l
INT_flg,col_double(),d,l
IL_flg,col_double(),d,l
JAK_flg,col_double(),d,l
Other_IBD_flg,col_double(),d,l
AZA_mp_no_TNF_flg,col_double(),d,l
NO_MED,col_double(),d,d
imm_flg,col_double(),d,l
TNF_no_SUL,col_double(),d,l
TNF_SUL,col_double(),d,l
SUL_NO_TNF,col_double(),d,l
pga1,col_double(),d,d
comorbid___1_text,col_character(),c,c
comorbid___2_text,col_character(),c,c
comorbid___3_text,col_character(),c,c
comorbid___4_text,col_character(),c,c
comorbid___5_text,col_character(),c,c
comorbid___6_text,col_character(),c,c
comorbid___7_text,col_character(),c,c
comorbid___8_text,col_character(),c,c
comorbid___9_text,col_character(),c,c
comorbid___10_text,col_character(),c,c
comorbid___11_text,col_character(),c,c
comorbid___12_text,col_character(),c,c
biologic___1_text,col_character(),c,c
biologic___2_text,col_character(),c,c
biologic___3_text,col_character(),c,c
biologic___4_text,col_character(),c,c
biologic___5_text,col_character(),c,c
biologic___6_text,col_character(),c,c
biologic___7_text,col_character(),c,c
biologic___8_text,col_character(),c,c
asa___1_text,col_character(),c,c
asa___2_text,col_character(),c,c
immod___1_text,col_character(),c,c
immod___2_text,col_logical(),l,l
immod___3_text,col_character(),c,c
immod___4_text,col_character(),c,c
immod___5_text,col_character(),c,c
steroid___1_text,col_character(),c,c
steroid___2_text,col_character(),c,c
steroid___3_text,col_character(),c,c
med_cat___5_text,col_character(),c,c
med_cat___6_text,col_character(),c,c
Med_text,col_character(),c,c
med_cat___1_text,col_character(),c,c
med_cat___2_text,col_character(),c,c
med_cat___3_text,col_character(),c,c
med_cat___4_text,col_character(),c,c
Med_cat_text,col_character(),c,c
diagnosis1,col_double(),d,d
death_flg,col_double(),d,l
country_cat,col_double(),d,f
country_other,col_double(),d,d
covidmed_cat,col_double(),d,d
Sul_stop,col_double(),d,l
TNF_stop,col_double(),d,l
aza_stop,col_double(),d,l
Other_CS_stop,col_double(),d,l
IL_stop,col_double(),d,l
INT_stop,col_double(),d,l
AZA_no_TNF_flg,col_double(),d,l
INT_no_imm,col_double(),d,l
IL_no_imm,col_double(),d,l
hosp_flg,col_double(),d,l
out_flg,col_double(),d,l
icu_flg,col_double(),d,l
vent_flg,col_double(),d,l
preddose_daily,col_double(),d,d
DATE,"col_date(format"""")",?,?
IMM_stop,col_double(),d,l
race_cat,col_double(),d,f
med_cat___7_text,col_character(),c,c
languages,col_character(),c,c
survey_text_finish,col_character(),c,c
