Variable,TNF Inhibitors,Anti-integrin Therapies,IL-12 IL-23 Inhibitors,Sulfasalazine,Mesalamine,Aza 6-MP Immunomodulator,Methotrexate,Oral Corticosteroid (40mg),Budesonide,Janus Kinase Inhibitor
Other_CS_flgTRUE:sexBinaryFemale,0,0,0,0,0,0,0,5,0,0
Other_CS_flgFALSE:sexBinaryMale,0,0,0,0,0,0,0,-0.5,0,0
Other_CS_flgTRUE:sexBinaryMale,0,0,0,0,0,0,0,5,0,0
Other_CS_flgFALSE:bmiAbv60Rm,0,0,0,0,0,0,0,-25,0,0
Other_CS_flgTRUE:bmiAbv60Rm,0,0,0,0,0,0,0,25,0,0
I(age^2),0,0,0,0,0,0,0,0,0,0
I(ComorbidCount^2),0,0,0,0,0,0,0,0,0,0
I(bmiAbv60Rm^2),0,0,0,0,0,0,0,0,0,0
I(preddose_daily^2),0,0,0,0,0,0,0,1600,0,0
I(azadose^2),0,0,0,0,0,9702.25,0,0,0,0
I(mcpdose^2),0,0,0,0,0,76.98308,0,0,0,0
dateInterval:countryGroupedArgentina,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedBelgium,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedBrazil,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedCanada,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedFrance,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedGermany,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedIndia,0,0,0,0,0,0,0,0,0,0
"dateInterval:countryGroupedIran, Islamic Republic of",0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedIsrael,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedItaly,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedNetherlands,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedothers,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedPortugal,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedRussian Federation,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedSpain,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedTurkey,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedUnited Kingdom,0,0,0,0,0,0,0,0,0,0
dateInterval:countryGroupedUnited States,0,0,0,0,0,0,0,0,0,0
